nr_rejestracyjny,id_naprawy,czasnaprawy
AA001,p2,"2,76666666666667"
AA003,p9,"0,9"
AA004,p11,"2,5"
AA005,p6,"2,93333333333333"
AA006,p4,"2,78333333333333"
AA008,p16,"2,76666666666667"
AA009,p13,"2,71666666666667"
AA010,p4,"2,08333333333333"
AA011,p2,"1,75"
AA013,p5,"2,61666666666667"
AA014,p4,"0,683333333333333"
AA015,p15,"0,966666666666667"
AA016,p6,"1,31666666666667"
AA017,p3,"0,516666666666667"
AA019,p14,"2,2"
AA020,p1,"1,73333333333333"
AA021,p18,"0,516666666666667"
AA022,p7,"0,633333333333333"
AA024,p2,"2,41666666666667"
AA025,p6,"2,3"
AA026,p5,"2,25"
AA027,p11,"1,68333333333333"
AA028,p7,"0,566666666666667"
AA029,p4,"2,51666666666667"
AA019,p19,"0,616666666666667"
AA001,p19,"0,9"
AA005,p12,"2,06666666666667"
AA006,p8,"0,55"
AA007,p2,"1,98333333333333"
AA008,p2,"1,3"
AA009,p6,"1,33333333333333"
AA010,p5,"2,58333333333333"
AA011,p19,"1,11666666666667"
AA013,p8,"0,866666666666667"
AA014,p15,"0,916666666666667"
AA015,p18,"0,516666666666667"
AA016,p8,"0,75"
AA017,p15,"0,866666666666667"
AA018,p2,"2,68333333333333"
AA019,p16,"2,76666666666667"
AA020,p5,"1,43333333333333"
AA021,p19,"1,35"
AA022,p18,"1,01666666666667"
AA024,p10,"0,6"
AA025,p16,"2,53333333333333"
AA026,p6,"2,35"
AA027,p13,"1,63333333333333"
AA028,p4,"2,3"
AA029,p12,"1,7"
AA030,p5,"2,18333333333333"
AA001,p18,"1,11666666666667"
AA002,p8,"0,783333333333333"
AA003,p13,"1,71666666666667"
AA004,p1,"0,866666666666667"
AA005,p15,"0,616666666666667"
AA006,p2,"1,88333333333333"
AA007,p4,"2,43333333333333"
AA008,p18,"0,7"
AA009,p12,"2,33333333333333"
AA010,p3,"0,7"
AA011,p1,"1,46666666666667"
AA012,p14,"1,78333333333333"
AA013,p20,"1,61666666666667"
AA014,p11,"1,88333333333333"
AA015,p3,"0,983333333333333"
AA016,p2,"1,3"
AA017,p13,"2,2"
AA018,p15,"0,516666666666667"
AA019,p11,"2,21666666666667"
AA020,p7,"0,933333333333333"
AA021,p5,"1,35"
AA022,p2,"1,6"
AA019,p3,"0,383333333333333"
AA024,p22,"2,1"
AA025,p11,"1,9"
AA026,p20,"1,6"
AA027,p2,"2,05"
AA028,p22,"2,25"
AA029,p20,"1,53333333333333"
AA030,p15,"0,85"
AA001,p15,"0,75"
AA002,p19,"1,03333333333333"
AA003,p17,"2,7"
AA004,p21,"2,5"
AA005,p8,"0,833333333333333"
AA006,p8,"0,6"
AA007,p22,"2,65"
AA008,p7,"0,766666666666667"
AA009,p3,"0,616666666666667"
AA010,p6,"1,8"
AA011,p4,"2,86666666666667"
AA012,p13,"1,66666666666667"
AA013,p21,"2,68333333333333"
AA014,p22,"2,13333333333333"
AA015,p11,"0,966666666666667"
AA016,p10,"0,583333333333333"
AA017,p21,"0,633333333333333"
AA019,p3,"1,43333333333333"
AA019,p6,"2,81666666666667"
AA020,p13,"2,71666666666667"
AA021,p19,"1,21666666666667"
AA022,p13,"2,7"
AA019,p9,"1,13333333333333"
AA024,p13,"1,71666666666667"
AA025,p22,"2,83333333333333"
AA026,p22,"2,76666666666667"
AA027,p10,"0,716666666666667"
AA028,p19,"0,983333333333333"
AA029,p8,"0,6"
AA030,p5,"1,95"
AA001,p9,1
AA002,p14,"2,21666666666667"
AA003,p8,"0,45"
AA004,p5,"1,8"
AA005,p7,"0,716666666666667"
AA006,p5,"1,75"
AA007,p21,"2,35"
AA008,p4,"1,91666666666667"
AA009,p11,"2,1"
AA010,p12,"2,11666666666667"
AA019,p9,"0,683333333333333"
AA012,p8,"0,533333333333333"
AA013,p1,"1,35"
AA014,p3,"0,816666666666667"
AA015,p8,"0,816666666666667"
AA016,p2,"2,7"
AA017,p15,"0,533333333333333"
AA018,p9,"0,583333333333333"
AA019,p13,"2,83333333333333"
AA020,p10,"0,683333333333333"
AA021,p11,"1,66666666666667"
AA022,p7,"0,566666666666667"
AA019,p21,"2,4"
AA024,p2,"1,66666666666667"
AA025,p21,"2,83333333333333"
AA026,p12,"2,45"
AA027,p22,"2,36666666666667"
AA028,p17,"1,76666666666667"
AA029,p1,"0,8"
AA030,p6,"1,81666666666667"
AA001,p3,"0,983333333333333"
AA002,p1,"1,66666666666667"
AA003,p13,"1,83333333333333"
AA019,p9,"0,55"
AA005,p5,"1,91666666666667"
AA006,p18,"0,666666666666667"
AA007,p12,"2,98333333333333"
AA008,p17,"2,58333333333333"
AA009,p5,"1,95"
AA010,p11,"2,88333333333333"
AA011,p18,"0,95"
AA012,p17,"2,76666666666667"
AA013,p17,"2,81666666666667"
AA014,p8,"0,766666666666667"
AA015,p16,"2,05"
AA016,p18,"0,683333333333333"
AA017,p18,"0,65"
AA018,p4,"1,96666666666667"
AA019,p17,"2,21666666666667"
AA020,p5,"2,55"
AA021,p21,"2,16666666666667"
AA022,p21,"2,56666666666667"
AA019,p9,"0,95"
AA024,p12,"1,98333333333333"
AA025,p13,"2,21666666666667"
AA026,p17,"2,13333333333333"
AA027,p22,"1,88333333333333"
AA028,p9,"0,883333333333333"
AA029,p10,"0,7"
AA030,p1,"0,8"
